from_genius_id,to_genius_id,type
2905167,71987,interpolates
8553686,8634216,samples
8553686,5322709,interpolates
3412272,2160458,samples
3412272,4390540,interpolates
3359190,162955,samples
3359190,162955,interpolates
3359190,232948,interpolates
8598928,2999370,interpolates
8598928,6017394,interpolates
8598928,2820857,interpolates
1850,1190578,samples
237,78153,samples
237,1145780,samples
8524059,71255,samples
8524059,71255,interpolates
5957632,10714080,samples
382417,481702,interpolates
2938724,4196369,samples
2938724,4196355,samples
2938724,3220404,samples
2938724,1000365,samples
2938724,88712,samples
2938724,3882,samples
8544409,986667,samples
8076830,3841765,samples
8247964,8348343,samples
8067728,291543,interpolates
8460222,3447188,interpolates
7755754,7867739,samples
7755754,118812,interpolates
7847535,7132804,interpolates
76654,327470,samples
483006,7861954,samples
7024704,5672520,samples
7024704,6995354,interpolates
8467802,2843978,interpolates
106380,63416,interpolates
8122123,3767828,samples
8122123,51779,samples
8528349,8513887,interpolates
78963,62177,interpolates
8614500,5102752,interpolates
8614500,5102722,interpolates
772,116531,samples
7130788,216856,samples
7130788,7038578,samples
7130788,168,interpolates
74885,116356,interpolates
74885,7258814,interpolates
122,2338495,samples
122,10179,interpolates
122,1882,interpolates
8248132,6988612,samples
8218476,861352,interpolates
110982,3865927,samples
110982,5450072,interpolates
75362,1713113,interpolates
2450584,2450753,samples
2450584,801335,interpolates
2450584,107606,interpolates
2450584,2186616,interpolates
2450584,2263723,interpolates
2450584,2398213,interpolates
118904,2077173,interpolates
7958936,719853,samples
52968,119328,samples
52968,1032786,samples
52968,75119,interpolates
52968,9587906,interpolates
97160,3269636,interpolates
7641652,1115584,interpolates
8462544,2868078,samples
8564326,2204,samples
5706157,5726592,samples
8484454,348266,interpolates
7317735,8740085,interpolates
7553530,1976513,samples
7105950,1449,interpolates
128053,1622582,samples
7033870,1298572,samples
8443063,7290200,samples
4276091,2003090,interpolates
30290,56902,samples
89440,6408453,interpolates
8639319,30280,samples
6380777,2219070,samples
56642,8398162,interpolates
235765,8361154,samples
235765,654086,samples
235765,807475,samples
235765,5342,samples
7078127,164798,samples
7078127,9422111,interpolates
4513187,4579360,samples
8145919,2121050,interpolates
7971542,11363932,samples
8232693,943371,samples
7791706,6012716,samples
7791706,7371142,interpolates
8054917,453718,samples
8054917,155859,interpolates
8564658,6638526,interpolates
5705872,137283,interpolates
7971522,6447980,interpolates
8431515,7051170,samples
8431515,7137816,interpolates
8431246,100856,interpolates
8504865,57296,interpolates
8504865,6553138,interpolates
7980537,266756,samples
7712660,927994,samples
7712660,1392997,interpolates
7712660,927994,interpolates
1640,16656,samples
1640,10324400,interpolates
8255797,6241011,interpolates
8068179,523384,interpolates
4611276,2922345,interpolates
4343709,7733,interpolates
8501449,371532,samples
2317799,425942,samples
7968180,52968,interpolates
3039687,94730,samples
8110202,1101793,interpolates
7450003,49919,samples
7450003,49919,interpolates
7450003,5901154,interpolates
7450003,7308841,interpolates
7450003,5901153,interpolates
7450003,5901155,interpolates
7450003,5840174,interpolates
7450003,5890515,interpolates
7450003,5567975,interpolates
7450003,5886204,interpolates
7450003,5678479,interpolates
8198566,590722,samples
8198566,590722,interpolates
6065451,6115750,interpolates
7076040,4396350,interpolates
1779103,490057,interpolates
4137367,102751,samples
4499585,410195,interpolates
7936400,42480,samples
8412628,724055,samples
8412628,1979041,interpolates
