index_from,spotifyId_from,trackName_from,artistName_from,releaseDate_from,geniusId_from,geniusTrackName_from,geniusArtistName_from,geniusReleaseDate_from,trackLanguage_from,from_genius_id,to_genius_id,type,index_to,spotifyId_to,trackName_to,artistName_to,releaseDate_to,geniusId_to,geniusTrackName_to,geniusArtistName_to,geniusReleaseDate_to,trackLanguage_to
13.0,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,2022-11-04,8524075,Rich Flex,Drake & 21 Savage,2022-11-04,en,8524075,39389,interpolates,,,,,,39389,There He Is,Bobby Creekwater,2006-12-04,
13.0,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,2022-11-04,8524075,Rich Flex,Drake & 21 Savage,2022-11-04,en,8524075,156640,interpolates,,,,,,156640,0 to 100 / The Catch Up,Drake,2014-06-01,
14.0,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,2022-05-13,7967836,I Ain’t Worried,OneRepublic,2022-05-13,en,7967836,66259,samples,,,,,,66259,Young Folks,Peter Bjorn and John (Ft. Victoria Bergsman),2006-08-07,
16.0,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,2022-05-06,7967959,Tití Me Preguntó,Bad Bunny,2022-05-06,es,7967959,2081328,samples,,,,,,2081328,No Te Puedo Olvidar,Antony Santos,1999-01-01,
16.0,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,2022-05-06,7967959,Tití Me Preguntó,Bad Bunny,2022-05-06,es,7967959,7125261,interpolates,,,,,,7125261,Uva Bombom,Rochy RD (Ft. Chuky De Lewa),2021-08-20,
18.0,spotify:track:5WxVXxCMRnvxUKFq40ELwq,Escapism.,RAYE,2023-02-03,8427758,Escapism.,RAYE & 070 Shake,2022-10-12,en,8427758,24543,interpolates,,,,,,24543,Money Ain’t a Thang,Jermaine Dupri (Ft. JAY-Z),1998-09-29,
19.0,spotify:track:5odlY52u43F5BjByhxg7wg,golden hour,JVKE,2022-09-23,8192862,golden hour,JVKE,2022-07-15,en,8192862,8957789,interpolates,,,,,,8957789,Firefly,Power music (Ft. Jordan Robbins),2023-03-17,
21.0,spotify:track:3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,2022-12-15,8599539,LET GO,Central Cee,2022-12-15,en,8599539,135402,samples,,,,,,135402,Let Her Go,Passenger,2012-02-24,en
21.0,spotify:track:3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,2022-12-15,8599539,LET GO,Central Cee,2022-12-15,en,8599539,135402,interpolates,,,,,,135402,Let Her Go,Passenger,2012-02-24,en
22.0,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,2016-11-24,2911557,Die For You,The Weeknd,2016-11-25,en,2911557,345021,interpolates,,,,,,345021,Feelin’ on Yo Booty,R. Kelly,2001-08-07,
26.0,spotify:track:561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,2004-11-12,1797,Mockingbird,Eminem,2004-11-12,en,1797,349933,interpolates,,,,,,349933,"Hush, Little Baby",Children Songs,,
27.0,spotify:track:78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,2023-05-26,8213274,Here With Me,d4vd,2022-07-17,en,8213274,2826117,interpolates,,,,,,2826117,EVERYTHING,The Black Skirts,2016-01-29,
28.0,spotify:track:53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,ROSALÍA,2022-09-09,8173139,DESPECHÁ,ROSALÍA,2022-07-28,es,8173139,8264237,interpolates,,,,,,8264237,DESPECHÁ (Demo),ROSALÍA (Ft. Omega El Fuerte),,
29.0,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,2022-07-29,8219830,CUFF IT,Beyoncé,2022-07-29,en,8219830,428052,samples,,,,,,428052,Square Biz,Teena Marie,1981-05-14,
29.0,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,2022-07-29,8219830,CUFF IT,Beyoncé,2022-07-29,en,8219830,85567,samples,,,,,,85567,Good Times,Chic,1979-06-30,
29.0,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,2022-07-29,8219830,CUFF IT,Beyoncé,2022-07-29,en,8219830,861093,interpolates,,,,,,861093,Ooo La La La,Teena Marie,1988-03-21,
32.0,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,2022-05-06,7967960,Efecto,Bad Bunny,2022-05-06,es,7967960,7124700,samples,,,,,,7124700,Esta Sí,"Chimbala, Chucky73 & Dowba Montana",2021-07-30,
36.0,spotify:track:1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,2022-07-20,8214933,Romantic Homicide,d4vd,2022-07-20,en,8214933,2411207,samples,,,,,,2411207,In My Head,Bedroom,2013-01-04,
39.0,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,2021-07-27,5983087,STAY,The Kid LAROI & Justin Bieber,2021-07-09,en,5983087,10978827,samples,,,,,,10978827,In Your Arms,William Dunst,2024-07-10,
39.0,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,2021-07-27,5983087,STAY,The Kid LAROI & Justin Bieber,2021-07-09,en,5983087,6897250,interpolates,,,,,,6897250,STAY (Demo),The Kid LAROI,2020-01-01,
41.0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020-03-20,5049949,Blinding Lights,The Weeknd,2019-11-29,en,5049949,8575131,samples,,,,,,8575131,Pulsar City Alarm,Adams & Fleisner,1984-01-01,
41.0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020-03-20,5049949,Blinding Lights,The Weeknd,2019-11-29,en,5049949,727466,interpolates,,,,,,727466,The Hills,The Weeknd,2015-05-27,en
41.0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020-03-20,5049949,Blinding Lights,The Weeknd,2019-11-29,en,5049949,622976,interpolates,,,,,,622976,Young Turks,Rod Stewart,1981-11-06,
41.0,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020-03-20,5049949,Blinding Lights,The Weeknd,2019-11-29,en,5049949,118904,interpolates,,,,,,118904,Take on Me,a-ha,1985-04-05,en
44.0,spotify:track:4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,2022-10-17,8385416,Just Wanna Rock,Lil Uzi Vert,2022-10-17,en,8385416,9011152,samples,,,,,,9011152,Kochavim Bedo - כוכבים בדו,Svika Pick - צביקה פיק,1980-03-01,
45.0,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,2021-10-22,7096046,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021-08-13,en,7096046,390571,samples,,,,,,390571,Sacrifice,Elton John,1989-08-29,
45.0,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,2021-10-22,7096046,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021-08-13,en,7096046,390442,samples,,,,,,390442,Kiss the Bride,Elton John,1983-05-30,
