from_genius_id,to_genius_id,type
8956538,26361,samples
8743103,6567355,interpolates
8192862,8957789,interpolates
8598927,1353,samples
8598927,6784689,interpolates
8385416,9011152,samples
8955184,9217411,interpolates
9057600,10407441,samples
8595389,1184564,samples
8599539,135402,samples
1930029,235162,samples
7934569,2911564,interpolates
7934569,4282757,interpolates
7585022,2953771,interpolates
9006073,51326,interpolates
9045006,590,samples
9045006,1798,samples
9045006,81159,samples
9045006,2845980,samples
8804671,529,interpolates
9080217,155,samples
4179007,221487,interpolates
4179007,1406,interpolates
4179007,1724724,interpolates
9058441,227193,interpolates
7971522,6447980,interpolates
9109066,2421777,samples
8370456,239378,interpolates
9129506,273992,interpolates
9129506,5331548,interpolates
440,8039035,samples
440,55045,samples
440,2069,interpolates
8952768,5123,interpolates
98603,3243,interpolates
9153655,152350,samples
8991340,81345,samples
8991340,1596,samples
9030287,3180,samples
9030287,177239,samples
9153879,2270695,samples
8779350,8844071,samples
9109265,483006,interpolates
9081466,4640157,interpolates
4876732,521213,samples
7967060,1374578,samples
8983823,9092974,samples
8983823,2313231,interpolates
8232693,943371,samples
8529838,529,samples
8529838,3524480,samples
8529838,35653,interpolates
8529838,5037,interpolates
8529838,744,interpolates
3242364,2597650,interpolates
7980537,266756,samples
9130181,1478839,interpolates
8946033,113544,interpolates
8946040,8106141,interpolates
2840832,9875803,samples
9162050,3516000,samples
8718879,70874,interpolates
7771501,8236927,interpolates
8941649,1854908,interpolates
9153898,734153,interpolates
9185102,19811,samples
9168106,11248464,samples
9203250,2263723,interpolates
9203250,3580132,interpolates
9203250,3723048,interpolates
9203250,2464123,interpolates
8956162,19348,interpolates
8583612,1398,samples
8583612,35844,samples
8583612,79,samples
8583612,3650,samples
8583612,2361,samples
8583612,78107,samples
8583612,1447,interpolates
9231905,1520683,samples
8535472,7464551,samples
8535472,3317482,interpolates
8535472,4175,interpolates
8817743,8782564,interpolates
8219830,428052,samples
8219830,85567,samples
8219830,861093,interpolates
8886879,6224,interpolates
7873070,2177834,interpolates
9152241,49781,samples
9152241,46543,samples
9152241,728651,interpolates
9152241,4535557,interpolates
9152241,9764112,interpolates
8956163,384845,samples
8956163,780,samples
8956163,45684,samples
8956163,340,interpolates
8956163,3627,interpolates
8956160,633712,samples
9207799,51779,samples
9209114,3046517,interpolates
9260170,5528,interpolates
8871682,7216630,interpolates
8791913,8267350,interpolates
9194384,7437163,interpolates
9111234,150060,interpolates
9251882,992345,interpolates
9289682,723327,samples
7970911,8673433,interpolates
7970911,8910910,interpolates
7970911,9738692,interpolates
9257313,5718,samples
9257313,498,samples
9257313,744,samples
9257313,988,samples
9257313,238,samples
9257313,509,samples
9257313,9885057,samples
9255877,8415871,interpolates
9255877,1390230,interpolates
8956173,9143,interpolates
9255882,2485202,interpolates
9255882,5977,interpolates
8946039,1755326,samples
8469497,7167114,interpolates
9081322,206194,interpolates
8200803,6311197,samples
8200803,7202507,samples
9125797,191320,samples
9188382,1821140,interpolates
9237320,4589199,samples
8618975,10501616,interpolates
9244062,8352500,interpolates
3993850,4556786,interpolates
9028295,2059,samples
9258846,7631645,interpolates
9258846,9096240,interpolates
9258846,120723,interpolates
9258846,8956162,interpolates
9258846,143155,interpolates
9258846,8175723,interpolates
9258846,3327237,interpolates
9258846,6943346,interpolates
9278274,4578872,samples
9278274,2855464,samples
9219099,669,interpolates
8494420,3209316,samples
8494420,2325505,interpolates
8936455,320907,samples
