geniusId,type,artistId,name
7158720,writer,2769346,Will Lansley
7158720,writer,17764,Jason Derulo
7158720,writer,643556,John Morgan
7158720,writer,2686649,Henry Tucker
7158720,writer,652186,David Phelan
7158720,writer,117288,Alex Oriet
7641652,producer,168236,Jax Jones
7641652,writer,188055,Mark Ralph
7641652,writer,100310,MNEK
7641652,writer,653738,Siba
7641652,writer,108841,Wayne Hector
7763190,producer,2830034,Replay Okay
7763190,writer,3082197,Domiziana
7718610,producer,395104,Felix Jaehn
7718610,producer,670445,JUNKX
7718610,producer,2919179,The Stickmen Project
7718610,producer,992277,Jon Maguire
7718610,writer,670448,Guido Kramer
7718610,writer,1053555,Stefan Dabruck
7718610,writer,670447,Dennis Bierbrodt
7718610,writer,670446,Jürgen Dohr
7718610,writer,1670221,Daniel Deimann
7718610,writer,2428423,Zak F Ron
7718610,writer,2428424,Felix Ferdinand
7718610,writer,977386,Calum Scott
8087788,producer,1556179,Ben Thiele
8087788,producer,2323767,LUNAX
8087788,producer,1883540,Thore Schmakeit
8087788,writer,619115,David Jost
8087788,writer,630207,Robin Grubert
7204266,producer,240934,Alle Farben
7204266,producer,2885034,Haj (Producer)
7204266,producer,670445,JUNKX
7204266,writer,1670221,Daniel Deimann
7204266,writer,670447,Dennis Bierbrodt
7204266,writer,670448,Guido Kramer
7204266,writer,670446,Jürgen Dohr
7204266,writer,1053555,Stefan Dabruck
7204266,writer,1388005,KIDDO (SWE)
7613011,producer,1043984,Purple Disco Machine
7613011,writer,183695,Dimitri Tikovoï
7613011,writer,999642,Ed Cosens
7613011,writer,3031096,José Coelho
7613011,writer,2089239,Olivia Sebastianelli
7613011,writer,3031095,Ryan Sewell
7613011,writer,2446318,Sophie Scott
8638649,producer,32426,Beatzarre
8638649,producer,32425,Djorkaeff
8638649,producer,294755,Lukas Piano
8638649,writer,669519,Samra
8638649,writer,633346,AK AUSSERKONTROLLE
20062,producer,337,T-Pain
20062,producer,11066,DJ Montay
20062,writer,1081,Flo Rida
7847535,producer,2578,David Guetta
7847535,producer,1045018,Jordan Riley
7847535,writer,183925,Ella Henderson
7847535,writer,1060421,Robert Harvey
7847535,writer,1759499,Lewis Thompson
7847535,writer,2092797,Neave Applebaum
7847535,writer,48547,Becky Hill
5807,producer,28906,benny blanco
5807,producer,27804,Dr. Luke
5807,writer,24923,Bonnie McKee
5807,writer,27835,Max Martin
5807,writer,2395,Taio Cruz
3054301,producer,41084,Krutsch
3054301,writer,625070,Juju
3054301,writer,1037433,Nura
3054301,writer,1148652,Claus Capek
3054301,writer,1148653,Guy Gross
51012,producer,29767,RedOne
51012,writer,157,Akon
51012,writer,447,Lady Gaga
51012,feature,3023,Colby O’Donis
7380289,producer,175579,Robin Schulz
7380289,producer,1064869,Dennis Lloyd
7380289,producer,670445,JUNKX
7380289,writer,1670221,Daniel Deimann
7380289,writer,670447,Dennis Bierbrodt
7380289,writer,670448,Guido Kramer
7380289,writer,670446,Jürgen Dohr
7380289,writer,50768,Robin Stjernberg
7380289,writer,571425,Sandro Cavazza
7380289,writer,1053555,Stefan Dabruck
8108803,producer,980647,Luude
8108803,producer,9746,Saul Milton
8108803,producer,407394,Will Kennard
8108803,writer,216385,Marlon Roudette
8108803,writer,1151138,Preetesh Hirji
6380777,producer,361298,Dopamine
6380777,producer,482806,Riton
6380777,producer,1140227,Darryl Reid
6380777,producer,972559,Jon Shave
6380777,writer,1492485,Renny Wilson
6380777,writer,1777541,Hugh Brankin
6380777,writer,1777542,Ross Campbell
6380777,writer,1398950,Hypeman
6380777,writer,1312466,Mufasa
6380777,writer,80522,Harper
6380777,writer,3581804,John Reid
7557195,producer,980647,Luude
7557195,writer,999839,Ron Strykert
7557195,writer,50820,Colin Hay
8682068,producer,638632,Stefan Heinrich
8682068,writer,15506,Alligatoah
8682068,writer,1020505,Haller
8682068,writer,2079636,Michael Heinrich
8247964,producer,3248472,Interplanetary Criminal
8247964,producer,2813000,Eliza Rose
8644087,producer,176734,Maxe
8644087,writer,1218906,Monet192
8644087,writer,53314,Takt32
8644087,writer,2014585,BLVSH Berlin
436893,producer,1008665,Sebastian Krajewski
436893,producer,852,Peter Fox
436893,producer,932994,Vincent von Schlippenbach
436893,writer,850236,Rüdiger Kusserow
436893,writer,838859,David Conen
436893,writer,1008661,Demba Nabé
436893,writer,830137,Dellé
6820606,producer,12418,Ed Sheeran
6820606,producer,2051921,Fred again..
6820606,producer,190058,Johnny McDaid
7628010,producer,2318466,Hemz
7628010,producer,3002557,SAINT CAIRO
7628010,writer,1031064,Keta
7485595,producer,1558219,MILES
7485595,writer,2125083,Rondodasosa
7973688,producer,1640847,ITACA
7973688,writer,531151,Ghali
7973688,writer,1580325,Madame
7973688,writer,1608159,Eugenio Maimone
7973688,writer,1864938,Federico “Merk” Mercuri
7973688,writer,1878088,Joe Kremont
7973688,writer,1364935,Jacopo Et
7973688,writer,1608160,WOLVS (ITA)
8639239,producer,2399103,Feezy Beatz
8639239,writer,2926471,Nabi
8616529,producer,380028,Lazza
8616529,writer,1316032,Drillionaire
8616529,writer,335648,Low Kidd
8616529,writer,2652459,Emiliano Blangero
8616531,producer,380028,Lazza
8616531,writer,335648,Low Kidd
7727661,producer,2516305,Scar (FRA)
7727661,producer,1716263,Voluptyk
7727661,writer,693078,Soolking
7632451,producer,129843,Kermit
7632451,producer,1316032,Drillionaire
7632451,writer,1967589,Paky
8593186,producer,562464,Sick Luke
8593186,writer,2476422,Rhove
8593186,writer,991191,Capo Plaza
8107786,producer,40283,Zef
8107786,writer,1022585,Davide Petrella
8107786,writer,630128,Federica Abbate
8107786,writer,1530427,Lola Indigo
8107786,writer,42537,Rocco Hunt
8491840,producer,823253,Jowan
8491840,producer,1022967,Rolo
8491840,producer,1267613,Wain
8491840,writer,1012056,Feid
8491840,writer,32132,Yandel
8491840,writer,1688604,Fantasma
8680469,producer,1301514,Bizarrap
8680469,writer,1037443,Duki
8680469,writer,3394568,Tobías Medrano
8680469,writer,3394569,Matías Rapen
8680469,writer,88234,FMK
8680469,feature,3061909,La T y La M
8421050,producer,2856835,SeshNolan
8421050,writer,2499721,Munic HB
8325337,writer,1029225,Juan Pablo Villamil
8325337,writer,662517,Juan Pablo Isaza
8325337,writer,54791,Juanes
8325337,writer,1570833,Martín Vargas
8325337,writer,1570832,Simón Vargas
8325337,writer,682717,Andrés Torres
8325337,writer,674576,El Dandee
7967975,producer,1855159,Albert Hype
7967975,producer,1057548,Subelo NEO
7967975,producer,664883,Demy & Clipz
7967975,producer,72334,Tainy
7967975,producer,984728,La Paciencia
7967975,producer,9014,MAG
7967975,writer,363589,Tony Dize
7967975,writer,690350,Bad Bunny
7967975,writer,1021386,Freddy “El Syntethyzer”
7967975,writer,1896680,Phantom Neo
8523891,producer,2163826,Neneto
8523891,producer,2398784,Machael
8523891,writer,1254985,Mora
6211047,producer,1096445,Foreign Teck
6211047,producer,2274490,Bass Charity
6211047,producer,72334,Tainy
6211047,writer,690350,Bad Bunny
2871746,producer,690350,Bad Bunny
2871746,producer,461475,DJ Luian
2871746,producer,152205,Mambo Kingz
2871746,writer,37899,Arcángel
8775254,producer,2120054,Narco Verra
8775254,writer,3423901,Dertay
8661074,producer,1107387,Dee Eye
8661074,producer,25823,JeanJass
8661074,producer,647877,Jules Fradet
8661074,writer,21842,Caballero
8661074,writer,1908116,So La Lune
8702313,producer,38434,DJ Bellek
8702313,producer,1447001,Pxblo
8702313,writer,466514,Guy2Bezbar
8702313,writer,2797012,Favé (FRA)
8238699,producer,79085,Stwo
8238699,producer,1149051,Pierrick Devin
8238699,producer,1167865,Mohave
8238699,producer,16138,Lomepal
8198566,producer,30425,Cirkut
8198566,producer,168295,David Stewart
8198566,producer,1047659,LOSTBOY
8198566,writer,1189492,Ava Max
8198566,writer,226751,Diane Warren
8198566,writer,1870316,Jessica Agombar
8198566,writer,1019488,Michael Pollack
8564608,producer,1226610,Noxious
8564608,writer,1904845,SDM
8564608,writer,234413,Niska
8501449,producer,1163063,Todiefor
8501449,producer,244693,Skuna
8501449,producer,1743196,Louis Dureau
8501449,writer,339523,Lorenzo
8501449,writer,244692,Lujipeka
8501449,feature,3332043,Tony Corrida
8608522,producer,1452406,Vladimir Cauchemar
8608522,producer,338628,Yro
8608522,writer,124445,Jean Dujardin
8608522,writer,339523,Lorenzo
8610636,producer,37316,Handy y Kap’z
8610636,producer,3180699,Rkaz
8610636,producer,2841950,Univers Sound
8610636,writer,74283,JuL
7989684,producer,554439,Ruuben
7989684,producer,87395,MD$
7989684,producer,2320942,Off & Out
7989684,producer,65746,Chopstix
7989684,writer,8491,Rodney Jerkins
7989684,writer,31097,LaShawn Daniels
7989684,writer,3163474,James Malcolm Olagundoye
7989684,writer,422875,Harvey Mason Jr.
7989684,writer,290895,Fred Jerkins III
7989684,writer,39313,Burna Boy
8610638,producer,984194,Kakou
8610638,writer,74283,JuL
8503014,producer,1899679,XAVii
8503014,producer,1608829,Jay 4LIFE
8503014,writer,2643166,Rsko
8503014,writer,1444864,Tiakola
8318430,producer,2516305,Scar (FRA)
8318430,producer,2347527,Nardey
8318430,producer,33732,Jized
8318430,writer,1482290,Fresh (BEL)
8318430,writer,234413,Niska
8600987,producer,3357796,Azzah
8600987,writer,3365489,Bhk220
8663435,producer,39931,JUMPA
8663435,writer,1861915,​badmómzjay
8663435,writer,53314,Takt32
3057010,producer,674576,El Dandee
3057010,producer,682717,Andrés Torres
3057010,producer,606741,Josh Gudwin
3057010,writer,344497,Luis Fonsi
3057010,writer,1823,Daddy Yankee
3057010,writer,5763,Poo Bear
3057010,writer,357,Justin Bieber
3057010,writer,1058697,Erika Ender
3057010,writer,23293,Marty James
8634150,producer,1238249,Chryziz
8634150,writer,68232,Nimo
8644084,producer,3360995,Switsher Beats
8644084,writer,2025743,NGEE
8644084,writer,1587986,Efe Ökmen
8644080,producer,201354,CHEKAA
8644080,writer,2006117,FOURTY
8448363,producer,1184526,Maddix
8404857,producer,43422,Beatgees
8404857,producer,37177,DJ Desue
8404857,producer,266876,KENAY
8404857,writer,12073,Sido
8404857,writer,85037,Bozza
8404857,writer,1131297,Hannes Büscher
8404857,writer,1131295,Sipho Sililo
8404857,writer,2875317,Philip Böllhoff
8404857,writer,1131296,David Vogt
8613960,producer,1561578,Bawer
8613960,producer,559229,DTP
8613960,producer,1782125,Riico
8613960,writer,36373,KALIM
8613960,writer,127606,Luciano
8644610,producer,182460,Johnny Illstrument
8644610,writer,2235837,Silva (DEU)
8354870,producer,18691,Kraftklub
8354870,producer,2690023,Flo August
8354870,writer,566905,Kummer
8354870,writer,1003163,Karl Schumann
8354870,writer,1884586,Steffen Israel
8687594,producer,2305810,Tream
8687594,writer,380173,Lee Marrow
8687594,writer,996756,Giorgio Spagna
8687594,writer,1702571,Annerley Gordon
8687594,writer,1424390,Michael Gaffey
8687594,writer,996757,Peter Glenister
8593945,producer,1708810,Geenaro
8593945,producer,423237,Ghana Beats
8593945,writer,12078,Summer Cem
8349943,producer,2297928,Miksu / Macloud
8349943,producer,1058469,Deats
8349943,writer,51819,RIN
8349943,writer,1026628,Schmyt
8349943,writer,2886262,DXVE
8385134,producer,1506889,Mistersir
8385134,producer,261838,Yung Hurn
8385134,writer,435,Dido
8197908,producer,286440,Phil The Beat
8197908,producer,32425,Djorkaeff
8197908,writer,2581375,Zachi
8197908,writer,1016736,Wim Treuner
8197908,writer,1137643,Robin Haefs
8197908,writer,629890,Nico Santos
8197908,writer,1103006,LEA
8197908,writer,2538210,Gustav
7339452,producer,1663086,ACRAZE
7339452,writer,7558,Sean Paul (YoungBloodZ)
7339452,writer,1007464,Farrah King
7339452,writer,1007463,Neosha King
7339452,writer,4068824,Rodney Richards
7339452,writer,1015962,Fallon King
7339452,writer,1015961,Felisha King
7339452,writer,3578318,John ‘Cheese’ Williams
7339452,feature,8440,Cherish
8324921,producer,989710,Maurice West
8324921,producer,1490009,Robert Pronk
8324921,writer,988053,MC Stretch
7643953,producer,2665546,Kosfinger
7643953,writer,2987704,CIVO
7643953,writer,500,Bruno Mars
7643953,writer,49094,Philip Lawrence
7643953,writer,31210,Ari Levine
7643953,writer,27434,Jeff Bhasker
7643953,writer,1155587,Albert Winkler
8346864,producer,2927801,Ryder & Seno
8346864,writer,1338448,Makar
8346864,writer,12767,RAF Camora
8701251,producer,2046364,Likkle Dotz OTB
8701251,producer,2309685,Ceebeaats
8701251,writer,2502959,Kolja Goldstein
8179333,producer,15496,Skrillex
8179333,producer,2051921,Fred again..
8179333,producer,126352,BEAM
8179333,producer,1029458,Elley Duhé
8179333,writer,12335,Flowdan
8179333,writer,1206918,Jordan Douglas
8459835,producer,201354,CHEKAA
8459835,writer,1616483,Jamule
8459835,writer,2006117,FOURTY
8459835,writer,2296113,Ataypapi
8396643,producer,1229308,Riccardo Zanotti
8396643,producer,1266470,Enrico Brun
8396643,producer,2130632,okgiorgio
8015625,producer,1229308,Riccardo Zanotti
8015625,producer,1266470,Enrico Brun
8015625,producer,1782085,Marco Paganelli
8015625,writer,2130632,okgiorgio
8015625,writer,3221861,Andrea Pisani
8661218,producer,508303,Sixpm
8661218,producer,40283,Zef
8661218,writer,1018981,Rose Villain
8661218,writer,335648,Low Kidd
8661218,writer,1558219,MILES
8661218,feature,33882,Salmo
8601363,producer,1229308,Riccardo Zanotti
8601363,producer,1266470,Enrico Brun
8601363,producer,1782085,Marco Paganelli
7993250,producer,508303,Sixpm
7993250,writer,1018981,Rose Villain
7993250,writer,603119,Tony Effe
8681915,producer,1014862,Dat Boi Dee
8681915,writer,1453163,Geolier
7487079,producer,2651116,Finesse (ITA)
7487079,producer,1233593,Nardi
7487079,producer,2605864,‎​alawais
7487079,producer,2183871,GeoGotBands
7487079,writer,1225734,MamboLosco
8601361,producer,1229308,Riccardo Zanotti
8601361,producer,1266470,Enrico Brun
8601361,producer,1782085,Marco Paganelli
8599606,producer,1229308,Riccardo Zanotti
8599606,producer,1266470,Enrico Brun
8599606,producer,1782085,Marco Paganelli
8681864,producer,632233,Andry The Hitmaker
8681864,writer,1960917,Medy
7466377,producer,663378,Drast
7466377,writer,1591742,Lil Kvneki
6433459,producer,260109,MACE
6433459,writer,1467302,Venerus
6433459,writer,1453163,Geolier
8681866,producer,1727678,Timon (ITA)
8681866,producer,3406369,4thenight
8681866,writer,1960917,Medy
8196294,producer,666362,Alex Salibian
8196294,producer,1838098,Ethan Schneiderman
8196294,producer,1027507,Larzz Principato
8196294,writer,1222202,ALFA
8196294,writer,2876547,Rosa Linn
8196294,writer,3098863,Jeremy Dusoulet
8196294,writer,1016710,Allie Crystal
8196294,writer,361118,Tamar Kaprelian
8196294,writer,573928,Courtney Harrell
7991571,producer,2651116,Finesse (ITA)
7991571,producer,1592302,Adam11
7991571,producer,1210784,Daves
7991571,writer,667428,Shiva
7991571,writer,2116031,​nemo ravesi
7991571,writer,2116053,Exxpensive
8602204,producer,1229308,Riccardo Zanotti
8602204,producer,1266470,Enrico Brun
8581015,producer,578359,Chris Nolan
8581015,writer,667428,Shiva
8581015,writer,569723,Tedua
8581015,writer,1592302,Adam11
8581015,writer,1316032,Drillionaire
8638073,producer,1038708,Ovy On The Drums
8638073,writer,2613457,Quevedo
8638073,writer,207701,Myke Towers
7947302,producer,2910153,BlueFire
7947302,writer,2613457,Quevedo
8219911,producer,1038708,Ovy On The Drums
8219911,writer,2613457,Quevedo
8357473,producer,2910153,BlueFire
8357473,writer,2613457,Quevedo
8686133,producer,3394736,​​el.adri
8686133,writer,3073466,Midas Alonso
7211763,producer,1301514,Bizarrap
7211763,writer,2137629,Santiago Alvarado
7211763,writer,1147558,Paulo Londra
8043173,producer,127603,Caleb Calloway
8043173,writer,2941629,Alejo
8682833,producer,2398784,Machael
8682833,writer,1254985,Mora
8681598,producer,666820,Yampi
8681598,producer,1154526,Hydro
8681598,producer,461475,DJ Luian
8681598,producer,152205,Mambo Kingz
8681598,producer,2910210,Bassyy
8681598,writer,640693,Ozuna
8681598,writer,3044200,YOVNGCHIMI
8681598,writer,453464,Gotay “El Autentiko”
8681598,writer,2288507,Felix Ozuna
8681598,writer,3406366,Javier Aviles
8681598,writer,583839,Hi Music Hi Flow
8681598,writer,3111839,Nyxto
8681598,writer,1215486,Vicente Saavedra
8681598,writer,3111837,Víctor Maldonado
8681598,writer,1689892,Xavier Semper
7159181,producer,1301514,Bizarrap
7159181,writer,1900428,Morad
6009939,producer,682717,Andrés Torres
6009939,producer,674576,El Dandee
6009939,writer,118792,Alejandro Sanz
6009939,writer,1344687,Aitana
6009939,writer,458858,Sebastián Yatra
8324986,producer,1180084,Christian “DJ Mad” Brito
8324986,producer,2249045,Crivas
8324986,producer,2033209,JH Beats
8324986,writer,14717,Romeo Santos
8324986,writer,2523264,Chris Lebron
8681838,producer,183339,Steve Lean
8681838,writer,1893598,Beny Jr
7987145,producer,1371843,Camilo
7987145,producer,610623,Édgar Barrera
7987145,producer,1113798,NIXX (COL)
7987145,writer,610622,Andrés Castro
7927935,producer,1729291,M. De La Cruz
7927935,producer,72334,Tainy
7927935,producer,984728,La Paciencia
7927935,writer,690350,Bad Bunny
8484184,producer,1203137,The Rudeboyz
8484184,producer,1145688,Ily Wonder
8484184,writer,669,Adam Levine
8484184,writer,405415,Maluma
8484184,writer,543018,Kevin ADG
8484184,writer,543019,Chan El Genio
8484184,writer,161734,Rios (RUS)
8484184,writer,2323001,Sencillo305
8484184,writer,285817,Jacob Kasher
8484184,writer,1020961,Jake Torrey
8616605,producer,1553209,Nico Cotton
8616605,writer,1536860,Maria Becerra
8296605,producer,2759347,Pablito Pesadilla
8296605,producer,1446580,Fran C
8296605,writer,1453887,Polimá Westcoast
8296605,writer,3081537,Nickoog Clk
8517909,producer,1083559,Federico Vindver
8517909,producer,1517350,Rio Root
8517909,writer,1147558,Paulo Londra
8517909,writer,1012056,Feid
5174100,producer,2075693,Kleft
5174100,producer,2075692,Arov
5174100,producer,2075687,El Antrax
5174100,writer,624480,Bryant Myers
8113680,producer,49135,Baghira
8113680,writer,1017318,Beret
8113680,writer,1485498,Omar Montes
8408584,producer,1070004,Fabrizio Ferraguzzo
8408584,producer,1271279,Måneskin
8408584,writer,1429481,Damiano David
8408584,writer,1429478,Ethan Torchio
8408584,writer,1429479,Thomas Raggi
8408584,writer,1429480,Victoria De Angelis
8408584,writer,27713,Rami
8408584,writer,100310,MNEK
8408584,writer,124752,JHart
8408584,writer,364760,Sarah Hudson
8408584,writer,56983,Jason Evigan
8063711,producer,552457,Mattman & Robin
8063711,writer,69043,Dan Reynolds
8063711,writer,556454,Wayne Sermon
8063711,writer,556452,Ben McKee
8063711,writer,556453,Daniel Platzman
8063711,writer,142215,Robin Fredriksson
8063711,writer,142213,Mattias Larsson
7137816,producer,1606593,YZ 虎 (Producer)
7137816,writer,2628336,​menace Santana
3839554,producer,1116236,Kiyane
3839554,writer,244692,Lujipeka
7497285,producer,2992527,Tempo Once Again
7497285,producer,1246441,DoomX
7497285,writer,1676933,La Fève
6711650,producer,346106,Benjay
6711650,writer,1460453,Smeels
6257309,producer,1057588,AMusicBoy
6257309,producer,38434,DJ Bellek
6257309,writer,217822,Zkr
7399545,producer,1545889,Hok (Producer)
7399545,producer,1226610,Noxious
7399545,writer,1444864,Tiakola
7399545,writer,682393,Zed
7399545,writer,638160,Maes
6157368,producer,1086686,BlackMayo
6157368,writer,1582864,Pirate
8700854,producer,48965,Ladjoint
8700854,producer,2738514,Pavillon Noir
8700854,producer,2744215,Professeur (FRA)
8700854,writer,566498,Kofs
8700854,writer,11650,Lacrim
8722369,producer,1156820,HRNN
8722369,producer,1663888,Slaik
8722369,producer,2035482,Asieux
8722369,writer,606693,RTI
8722369,writer,137894,RKM
8564669,producer,538878,H8MKRZ
8564669,writer,1904845,SDM
8721450,producer,2415392,Symphony Dreams
8721450,writer,15237,Sadek
7062070,producer,2155398,Ani Beatz
7062070,producer,48957,CG Flow
7062070,writer,71286,Ninho
7062070,writer,221964,Hornet La Frappe
7968180,producer,1196508,SLY
7968180,producer,27835,Max Martin
7968180,producer,27713,Rami
7968180,writer,1429481,Damiano David
7968180,writer,1429480,Victoria De Angelis
7968180,writer,1429479,Thomas Raggi
7968180,writer,1429478,Ethan Torchio
7968180,writer,409511,Justin Tranter
8718311,producer,557260,Bersa
8718311,writer,1472608,Benab
8643901,producer,3242845,Prince (FRA)
8643901,writer,1101709,Zola
3756037,producer,1092716,Angèle
3756037,writer,45855,Damso
7895136,producer,3305861,Alchimyst
7895136,writer,2643391,Mig
6310747,producer,2534483,Tkproduction
9472523,writer,3648728,Oussama Malki
8699680,producer,1136057,Shirama
8699680,writer,1415447,Longus Mongus
8699680,writer,1621524,Monk
8721613,producer,1530133,PAIX
8721613,writer,12452,Haftbefehl
8721609,producer,4303287,Filip Cozy
8721609,producer,1718046,LuciG
8721609,writer,30628,Olexesh
8721609,writer,4303303,IZZY (DEU)
8681799,producer,27103,P.M.B.
8681799,writer,21141,LX
8685307,producer,2647294,Premtim Etemi
8685307,producer,1275123,Don Gima
8685307,writer,1571163,DJ Gimi-O
8685307,writer,1038122,Capital Bra
8161982,producer,1708810,Geenaro
8161982,producer,423237,Ghana Beats
8161982,writer,127606,Luciano
8161982,writer,897106,Central Cee
8701719,producer,353999,young mesh
8701719,producer,27740,Juh-Dee
8701719,writer,1137251,Musso
8537185,producer,2458253,Mert Demir
8537185,writer,480124,Mabel Matiz
5983087,producer,49698,Cashmere Cat
5983087,producer,1325287,Blake Slatkin
5983087,producer,1453314,Omer Fedi
5983087,producer,250301,Charlie Puth
5983087,writer,666679,Finatik
5983087,writer,666680,Zac
5983087,writer,1446988,HAAN
5983087,writer,357,Justin Bieber
5983087,writer,1546645,The Kid LAROI
8088012,producer,1122131,Hubertus Dahlem
8088012,writer,1443426,BLVSH
8088012,writer,1946478,Boki (DEU)
8088012,writer,1399972,Jaro Omar
8088012,writer,2457826,ÁSDÍS
8642225,producer,1070004,Fabrizio Ferraguzzo
8642225,producer,1271279,Måneskin
8642225,producer,1266470,Enrico Brun
8642225,writer,1429481,Damiano David
8642225,writer,1429478,Ethan Torchio
8642225,writer,566790,Joe Janiak
8642225,writer,620527,Madison Love
8642225,writer,1429479,Thomas Raggi
