spotifyId,trackName,artistName,releaseDate,geniusId,geniusTrackName,geniusArtistName,geniusReleaseDate,trackLanguage
spotify:track:4Iry561oo2lujsgL77oCnm,PAINTING PICTURES,Superstar Pride,2023-03-13,8821223,Painting Pictures,Superstar Pride,2022-10-22,en
spotify:track:0SW8Xe0J3LtX7kr9DcLpir,Sag mir,Milano,2023-02-16,8832857,Sag mir,Milano,2023-02-17,de
spotify:track:5brSOIKVEo9A4vl4AKYgMN,Laufen,Dardan,2023-02-17,8826268,Laufen,Dardan,2023-02-17,sq
spotify:track:5Uhi5QbYGaESMKn5ZsqZjL,Fieber,Nina Chuba,2023-02-24,8543556,Fieber,Nina Chuba,2022-12-02,de
spotify:track:4mPCuzrgmiB3K62lLUFMj7,Freitag,Nina Chuba,2023-02-24,8543569,Freitag,Nina Chuba,2023-02-24,de
spotify:track:16yu2nYzdXaFxVOQdUwLgS,Pueblo,makko,2024-02-09,8832524,Pueblo,​makko,2023-02-17,de
spotify:track:12cZWGf5ZgLcKubEW9mx5q,HOPE,NF,2023-02-16,8829528,HOPE,NF,2023-02-16,en
spotify:track:7bJONh8ul0RSMOhPXTfqqb,Neben mir,Nina Chuba,2023-02-24,7247376,Neben mir,Nina Chuba,2021-10-01,de
spotify:track:0eawqqWr7RvuJZRiKHUd3R,Blocckind (feat. VOLO & Hanybal),Pajel,2023-02-10,8788909,Blocckind,Pajel (Ft. Hanybal & VOLO),2023-02-10,de
spotify:track:2mecSm2zQqrvvaPiQkM7ut,Kokaina,Undacava,2023-02-24,8847169,Kokaina,"Undacava, AK AUSSERKONTROLLE & Deadeye808",2023-02-24,de
spotify:track:5BfAcaTKnD5s6hkwrK6EhQ,Normal zu lieben,Jamule,2023-01-19,8739411,Normal zu lieben,Jamule,2023-01-20,de
spotify:track:0pvXz9FgGWxFXagwtQIQOO,Mondlicht,Nina Chuba,2023-02-24,8543549,Mondlicht,Nina Chuba & MAJAN,2023-02-24,de
spotify:track:1QPj2hG3ZcGx7NwcmRP8mT,Femminello,Nina Chuba,2023-02-24,7969666,Femminello,Nina Chuba,2022-05-06,de
spotify:track:07gGSxcPN5iEnszYgtx73S,Sie,CRO,2023-02-10,8122053,Sie,CRO,2023-02-10,de
spotify:track:7vV243a5tSSYNjR65snlne,Ich vermisse dich,Pietro Lombardi,2023-02-24,8855532,Ich vermisse dich,Pietro Lombardi,2023-02-24,de
spotify:track:28z6EGq7hL41nBLCny3U1e,Steht Mir,CRO,2023-02-10,8800819,Steht Mir,CRO,2023-02-10,de
spotify:track:6Fpa9OojVYsoMgdOrZ2HbQ,Alte Bilder,Nina Chuba,2023-02-24,8543548,Alte Bilder,Nina Chuba,2023-02-24,de
